date,home_team,away_team,Cluster,Dist_to_Cluster_0,Dist_to_Cluster_1,Dist_to_Cluster_2,Dist_to_Cluster_3
2000-11-02,Al-Ettifaq,Al Riyadh,2,3.858084114549913,2.6820668584297067,1.842899188091216,4.673956205555298
2000-11-02,Al Najma,Al-Nassr,3,5.070341727886179,6.924365759184862,3.825392462259838,1.7787765427569286
2000-11-03,Al Ahli SC,Al Ansar,1,5.6145400005459996,2.0253159958729348,4.8477340979907435,7.798910717047278
2000-11-07,Al Qadisiya,Sdoos,2,5.594743927441999,4.389259874996025,2.546503900668383,5.341909578690845
2000-11-08,Al Wehda,Al-Shabab,3,3.3200503240015067,5.201349042630342,3.0297402001179417,2.001554188130441
2000-11-08,Al Najma,Al Ahli SC,3,5.275207443268625,7.482513780883586,4.54670122428212,1.823797337933017
2000-11-12,Al-Ittihad FC,Sdoos,1,5.481365012423769,2.506096315338304,4.941681277079502,7.6924752660538225
2000-11-12,Al Riyadh,Al-Shabab,3,3.7068304097901215,5.557360534248756,3.081520661464924,1.7779916580041712
2000-11-15,Al Ansar,Al Najma,2,6.419824076357136,5.426793009024698,2.7671424521974477,5.262404010710863
2000-11-15,Al-Ettifaq,Al Ahli SC,3,2.5271727411792,5.1302553924568,3.631097918149145,1.777147980447451
2000-11-16,Al Qadisiya,Al Wehda,2,4.1437704847332775,4.02496748231877,1.0972000388167398,3.4109068645579623
2000-11-19,Al-Ittihad FC,Al Ansar,1,5.614488336720579,2.0442880116977187,4.955769181513803,7.841104633500457
2000-11-22,Al Wehda,Sdoos,2,5.350971404353211,3.590925164668713,2.408986544837139,5.665983756693644
2000-11-22,Al Riyadh,Al Qadisiya,2,4.329545491291066,3.7351699279058663,0.5986362292616736,3.8645884732968385
2000-11-22,Al Najma,Al-Ittihad FC,3,5.772609273813723,8.029914002762471,5.229206934155222,2.4486146151641335
2000-11-22,Al Ansar,Al-Ettifaq,2,5.339339948436406,6.101801158736701,2.941568879876495,3.150561233573425
2000-11-26,Al Riyadh,Sdoos,2,5.464408948524179,4.103027428819536,2.190987832720265,5.337283871602276
2000-11-27,Al-Ettifaq,Al Najma,1,5.40110389451475,2.7688327906079326,3.2252945744785286,6.412218254432415
2000-11-27,Al-Hilal,Al Ansar,1,6.281847083909335,3.41464570222389,6.28091869342474,8.876744892047956
2000-11-27,Al Wehda,Al-Ittihad FC,3,4.227269545581171,6.430891228520617,4.594181593945565,2.4954135454824633
2000-11-28,Al Qadisiya,Al-Nassr,3,3.7797986795820644,5.754208257875877,3.2358724884596812,1.2149806363921396
2000-11-28,Al-Shabab,Al Ahli SC,0,1.824911167420565,4.5673161497039,4.20906856569956,3.4482881099803593
2000-12-01,Al-Nassr,Sdoos,1,5.22568874268577,1.922749557752574,4.060516416940572,7.0734289650519795
2000-12-01,Al-Ettifaq,Al-Ittihad FC,3,2.874095273679257,5.345071445680586,3.985255903266291,2.4738799343738
2000-12-01,Al Wehda,Al Riyadh,2,4.213683997300151,3.495996249250459,1.3037906128898937,4.224537999045123
2000-12-01,Al Ahli SC,Al Qadisiya,1,3.8942570803061876,0.7758925653981544,3.9108133480244933,6.295340394616529
2000-12-02,Al-Shabab,Al Ansar,1,5.390959734920448,2.1454350885867925,4.130293960151677,7.118332938723303
2000-12-04,Al-Nassr,Al Wehda,1,3.461582185972269,2.311961280214205,3.253938837890188,5.353841830964651
2000-12-05,Sdoos,Al Ahli SC,3,5.266009907850623,7.395489053822377,4.546451507500059,2.020478216624482
2000-12-06,Al-Ittihad FC,Al Riyadh,1,4.137865515362615,2.1538287573953805,4.286290442920079,6.509514713397374
