matchNo,Date,Time,Team1,Team2,Score1,Score2,Note,﻿Date,Date.2,Match No.,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official,Attendance,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name,﻿matchNo,season_label,season_start_year,season_end_year,stage,source_file
1,02.11.2000,20:00,Al-Ettifaq,Al Riyadh,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
2,02.11.2000,20:00,Al Najma,Al-Nassr,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
3,03.11.2000,20:00,Al Ahli SC,Al Ansar,3,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
4,07.11.2000,20:00,Al Qadisiya,Sdoos,0,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
5,08.11.2000,20:00,Al Wehda,Al-Shabab,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
6,08.11.2000,20:00,Al Najma,Al Ahli SC,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
7,12.11.2000,20:00,Al-Ittihad FC,Sdoos,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
8,12.11.2000,20:00,Al Riyadh,Al-Shabab,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
9,15.11.2000,20:00,Al-Ettifaq,Al Ahli SC,2,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
10,15.11.2000,20:00,Al Ansar,Al Najma,3,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
11,16.11.2000,20:00,Al Qadisiya,Al Wehda,2,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
12,19.11.2000,20:00,Al-Ittihad FC,Al Ansar,3,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
13,22.11.2000,20:00,Al Wehda,Sdoos,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
14,22.11.2000,20:00,Al Riyadh,Al Qadisiya,2,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
15,22.11.2000,20:00,Al Najma,Al-Ittihad FC,0,4,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
16,22.11.2000,20:00,Al Ansar,Al-Ettifaq,2,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
17,26.11.2000,20:00,Al Riyadh,Sdoos,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
18,27.11.2000,20:00,Al-Hilal,Al Ansar,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
19,27.11.2000,20:00,Al-Ettifaq,Al Najma,4,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
20,27.11.2000,20:00,Al Wehda,Al-Ittihad FC,3,4,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
21,28.11.2000,20:00,Al-Shabab,Al Ahli SC,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
22,28.11.2000,20:00,Al Qadisiya,Al-Nassr,1,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
23,01.12.2000,20:00,Al-Nassr,Sdoos,3,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
24,01.12.2000,20:00,Al-Ettifaq,Al-Ittihad FC,2,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
25,01.12.2000,20:00,Al Wehda,Al Riyadh,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
26,01.12.2000,20:00,Al Ahli SC,Al Qadisiya,3,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
27,02.12.2000,20:00,Al-Shabab,Al Ansar,3,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
28,04.12.2000,20:00,Al-Nassr,Al Wehda,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
29,05.12.2000,20:00,Sdoos,Al Ahli SC,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
30,06.12.2000,20:00,Al-Ittihad FC,Al Riyadh,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
31,06.12.2000,20:00,Al Ansar,Al Qadisiya,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
32,07.12.2000,20:00,Al-Shabab,Al Najma,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
33,09.12.2000,20:00,Sdoos,Al Ansar,1,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
34,09.12.2000,20:00,Al Ahli SC,Al Wehda,3,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
35,10.12.2000,20:00,Al-Nassr,Al Riyadh,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
36,10.12.2000,20:00,Al-Ettifaq,Al-Shabab,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
37,11.12.2000,20:00,Al Qadisiya,Al Najma,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
38,13.12.2000,20:00,Al Riyadh,Al Ahli SC,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
39,14.12.2000,20:00,Sdoos,Al Najma,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
40,14.12.2000,20:00,Al-Ittihad FC,Al-Nassr,2,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
41,14.12.2000,20:00,Al-Ettifaq,Al Qadisiya,4,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
42,14.12.2000,20:00,Al Wehda,Al Ansar,2,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
43,15.12.2000,20:00,Al-Hilal,Al-Shabab,2,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
44,30.12.2000,20:00,Al-Shabab,Al-Ittihad FC,2,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
45,30.12.2000,20:00,Al-Ettifaq,Sdoos,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
46,31.12.2000,20:00,Al-Nassr,Al Ahli SC,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
47,31.12.2000,20:00,Al Qadisiya,Al-Hilal,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
48,31.12.2000,20:00,Al Najma,Al Wehda,0,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
49,31.12.2000,20:00,Al Ansar,Al Riyadh,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
50,04.01.2001,20:00,Al-Nassr,Al-Hilal,1,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
51,04.01.2001,20:00,Al Wehda,Al-Ettifaq,3,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
52,04.01.2001,20:00,Al Riyadh,Al Najma,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
53,04.01.2001,20:00,Al Qadisiya,Al-Shabab,4,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
54,08.01.2001,20:00,Al-Hilal,Al-Ettifaq,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
55,11.01.2001,20:00,Al-Shabab,Sdoos,2,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
56,11.01.2001,20:00,Al-Nassr,Al Najma,2,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
57,11.01.2001,20:00,Al Wehda,Al-Hilal,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
58,12.01.2001,20:00,Al Riyadh,Al-Ettifaq,3,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
59,12.01.2001,20:00,Al Ansar,Al Ahli SC,4,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
60,15.01.2001,20:00,Al-Shabab,Al-Nassr,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
61,15.01.2001,20:00,Al Ahli SC,Al-Hilal,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
62,18.01.2001,20:00,Sdoos,Al Qadisiya,1,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
63,19.01.2001,20:00,Al-Shabab,Al Wehda,3,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
64,19.01.2001,20:00,Al-Hilal,Al Riyadh,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
65,19.01.2001,20:00,Al Ansar,Al-Ittihad FC,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
66,19.01.2001,20:00,Al Ahli SC,Al Najma,2,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
67,24.01.2001,20:00,Sdoos,Al-Ittihad FC,0,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
68,24.01.2001,20:00,Al Najma,Al Ansar,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
69,24.01.2001,20:00,Al Ahli SC,Al-Ettifaq,2,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
70,25.01.2001,20:00,Al-Shabab,Al Riyadh,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
71,25.01.2001,20:00,Al-Hilal,Al-Nassr,2,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
72,25.01.2001,20:00,Al Wehda,Al Qadisiya,2,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
73,29.01.2001,20:00,Al-Ittihad FC,Al Qadisiya,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
74,29.01.2001,20:00,Al Najma,Al-Hilal,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
75,31.01.2001,20:00,Sdoos,Al Wehda,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
76,31.01.2001,20:00,Al-Nassr,Al-Shabab,2,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
77,31.01.2001,20:00,Al-Ettifaq,Al Ansar,3,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
78,02.02.2001,20:00,Al-Ittihad FC,Al Najma,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
79,02.02.2001,20:00,Al-Hilal,Al Ahli SC,1,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
80,02.02.2001,20:00,Al Qadisiya,Al Riyadh,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
81,03.02.2001,20:00,Sdoos,Al-Shabab,0,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
82,04.02.2001,20:00,Al-Nassr,Al-Ettifaq,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
83,04.02.2001,20:00,Al-Ittihad FC,Al Wehda,4,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
84,06.02.2001,20:00,Sdoos,Al Riyadh,0,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
85,06.02.2001,20:00,Al-Ettifaq,Al-Nassr,0,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
86,06.02.2001,20:00,Al Ansar,Al-Hilal,0,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
87,07.02.2001,20:00,Al-Nassr,Al Qadisiya,3,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
88,07.02.2001,20:00,Al Najma,Al-Ettifaq,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
89,07.02.2001,20:00,Al Ahli SC,Al-Shabab,3,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
90,11.02.2001,20:00,Al-Shabab,Al-Ettifaq,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
91,11.02.2001,20:00,Al-Hilal,Al-Ittihad FC,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
92,12.02.2001,20:00,Al-Nassr,Al Ansar,2,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
93,14.02.2001,20:00,Al-Ittihad FC,Al-Ettifaq,2,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
94,14.02.2001,20:00,Al Riyadh,Al Wehda,3,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
95,14.02.2001,20:00,Al Qadisiya,Al Ahli SC,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
96,15.02.2001,20:00,Sdoos,Al-Nassr,1,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
97,16.02.2001,20:00,Al-Hilal,Al Najma,3,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
98,16.02.2001,20:00,Al Ansar,Al-Shabab,3,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
99,18.02.2001,20:00,Al Riyadh,Al-Ittihad FC,0,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
100,18.02.2001,20:00,Al Ahli SC,Sdoos,6,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
101,19.02.2001,20:00,Al-Hilal,Al Wehda,4,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
102,22.02.2001,20:00,Al-Ettifaq,Al-Hilal,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
103,22.02.2001,20:00,Al Wehda,Al-Nassr,1,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
104,22.02.2001,20:00,Al Najma,Al-Shabab,1,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
105,22.02.2001,20:00,Al Ahli SC,Al-Ittihad FC,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
106,23.02.2001,20:00,Al Qadisiya,Al Ansar,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
107,26.02.2001,20:00,Al-Ittihad FC,Al-Hilal,1,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
108,26.02.2001,20:00,Al Wehda,Al Ahli SC,1,5,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
109,26.02.2001,20:00,Al Riyadh,Al-Nassr,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
110,27.02.2001,20:00,Al Najma,Al Qadisiya,0,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
111,27.02.2001,20:00,Al Ansar,Sdoos,1,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
112,02.03.2001,20:00,Al Riyadh,Al-Hilal,1,6,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
113,02.03.2001,20:00,Al Qadisiya,Al-Ittihad FC,2,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
114,19.03.2001,20:00,Al-Hilal,Sdoos,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
115,21.03.2001,20:00,Al-Nassr,Al-Ittihad FC,2,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
116,21.03.2001,20:00,Al Ansar,Al Wehda,1,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
117,21.03.2001,20:00,Al Ahli SC,Al Riyadh,5,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
118,22.03.2001,20:00,Al-Shabab,Al-Hilal,1,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
119,22.03.2001,20:00,Al Qadisiya,Al-Ettifaq,2,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
120,22.03.2001,20:00,Al Najma,Sdoos,1,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
121,25.03.2001,19:00,Al Riyadh,Al Ansar,3,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
122,25.03.2001,19:00,Al Ahli SC,Al-Nassr,4,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
123,26.03.2001,19:00,Sdoos,Al-Ettifaq,3,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
124,26.03.2001,19:00,Al-Ittihad FC,Al-Shabab,0,0,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
125,26.03.2001,19:00,Al-Hilal,Al Qadisiya,2,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
126,26.03.2001,19:00,Al Wehda,Al Najma,1,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
127,04.04.2001,19:00,Al-Shabab,Al Qadisiya,3,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
128,04.04.2001,19:00,Al-Ettifaq,Al Wehda,3,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
129,04.04.2001,19:00,Al Najma,Al Riyadh,2,1,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
130,05.04.2001,19:00,Al-Ittihad FC,Al Ahli SC,1,3,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
131,10.04.2001,19:00,Sdoos,Al-Hilal,1,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
132,10.04.2001,19:00,Al Ansar,Al-Nassr,3,2,,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
133,18.04.2001,18:30,Al Ahli SC,Al-Ittihad FC,0,0,Semi-finals,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
134,19.04.2001,18:30,Al-Hilal,Al-Nassr,0,1,Semi-finals,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
135,25.04.2001,18:30,Al-Ittihad FC,Al Ahli SC,4,2,Semi-finals,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
136,26.04.2001,18:30,Al-Nassr,Al-Hilal,0,0,Semi-finals,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
137,09.05.2001,18:30,Al-Ittihad FC,Al-Nassr,1,0,Final,,,,,,,,,,,,,,,,,,,,,2000-2001,2000,2001,FS,SPL-2000-2001-FS.csv
1,10.10.2001,19:00,Al-Shoalah,Al-Ittihad FC,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
2,10.10.2001,19:00,Al-Ettifaq,Al Riyadh,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
3,10.10.2001,19:00,Al Wehda,Al-Hilal,1,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
4,11.10.2001,19:00,Al-Nassr,Al Taee,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
5,11.10.2001,19:00,Al Najma,Al Ahli SC,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
6,12.10.2001,19:00,Al-Shabab,Al Ansar,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
7,14.10.2001,19:00,Al-Ettifaq,Al-Ittihad FC,1,3,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
8,17.10.2001,19:00,Al-Ittihad FC,Al Taee,4,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
9,17.10.2001,19:00,Al-Ettifaq,Al Ahli SC,0,4,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
10,17.10.2001,19:00,Al Wehda,Al-Nassr,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
11,17.10.2001,19:00,Al Ansar,Al Riyadh,0,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
12,18.10.2001,19:00,Al-Shoalah,Al Najma,2,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
13,18.10.2001,19:00,Al-Hilal,Al-Shabab,1,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
14,23.10.2001,19:00,Al-Shoalah,Al Riyadh,3,3,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
15,23.10.2001,19:00,Al Najma,Al-Hilal,0,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
16,23.10.2001,19:00,Al Ahli SC,Al-Ittihad FC,1,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
17,25.10.2001,19:00,Al-Shoalah,Al-Ettifaq,3,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
18,25.10.2001,19:00,Al-Shabab,Al-Nassr,0,3,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
19,26.10.2001,19:00,Al-Ittihad FC,Al Najma,4,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
20,26.10.2001,19:00,Al Taee,Al Wehda,0,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
21,26.10.2001,19:00,Al Riyadh,Al-Hilal,2,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
22,26.10.2001,19:00,Al Ansar,Al Ahli SC,1,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
23,31.10.2001,20:00,Al-Nassr,Al Riyadh,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
24,31.10.2001,20:00,Al-Ettifaq,Al Najma,3,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
